lon,lat,name,amenity
-122.150583,37.4458109,Addison Elementary School,school
-122.076341,37.7050723,Castro Valley High School,school
-121.8773135,37.3290889,Lowell Elementary School,school
-121.8452303,37.3266829,Bridges Academy,school
-121.8396868,37.3210971,Jeanne Meadows Elementary School,school
-122.1304601,37.3811624,Gardner Bullis Elementary School,school
-122.0810229,37.3613945,Miramonte Christian School,school
-121.8493978,37.3191544,Yerba Buena High School,school
-121.9137583,37.3343403,Hester School,school
-121.8572343,37.4042042,Sierramont Middle School,school
-121.8512317,37.4015695,Piedmont Hills High School,school
-121.85132,37.3254876,R. F. Kennedy Elementary School,school
-118.4291678,33.9575415,Westchester Enriched Science Magnets,school
-121.8512273,37.2191079,Almaden Country School,school
-121.85156,37.2073414,Williams Elementary,school
-121.8698948,37.2204431,Simonds Elementary School,school
-121.8404389,37.2374398,Apostles Lutheran School,school
-121.8579079,37.2446317,Action Day Primary Plus,school
-121.8577316,37.2464097,Allen at Steinbeck Elementary,school
-121.9019775,37.3893661,Orchard Elementary School,school
-122.0427597,37.6186789,Bidwell Elementary School,school
-122.0378787,37.6244506,Treeview Elementary School,school
-122.0522178,37.5621381,Forest Park Elementary School,school
-121.8055899,37.3041371,Silver Creek High School,school
-121.1899389,38.8242757,Loomis Elementary School,school
-122.2328586,37.8230567,Piedmont High School,school
-122.2344619,37.8222059,Piedmont Middle School,school
-121.1828977,38.8290347,Del Oro High School,school
-121.65804,36.6676393,Salinas High School,school
-118.0449895,33.9809311,Whittier High School,school
-122.2353983,37.8201047,Wildwood Elementary School,school
-122.2125894,37.4381795,Las Lomitas Elementary School,school
-122.2019709,37.4276331,La Entrada Middle School,school
-122.2038914,37.4286012,Philips Brooks Private School,school
-122.2024859,37.4291971,Las Lomitas School District Office,school
-121.5711831,37.0099137,Creative Play Learning Center,school
-120.4643422,34.635767,Lompoc Jr. High,school
-120.4765503,34.633231,Miguelito Elementary School,school
-120.463797,34.6486587,Lompoc High School,school
-118.0653177,34.1190079,Temple City High School,school
-118.0697804,34.1187053,Oak Avenue Intermediate School,school
-118.064803,34.1128023,Longden Elementary School,school
-118.0787042,34.1012423,,school
-118.0852652,34.0971893,Roosevelt Elementary School,school
-118.0891142,34.1177305,Wilson Elementary School,school
-121.9874944,37.265872,Rolling Hills Middle School,school
-121.9963923,37.2626205,Marshall Lane Elementary School,school
-122.0287814,37.265885,Saratoga High School,school
