longitude,latitude,name,amenity,zipcode,zip_distance_km
-122.4793107,37.7431361,Parkside Branch Library,library,94116,0.6238332609414102
-118.121816,34.1450451,Hill Avenue Branch Pasadena Public Library,library,91106,0.4725970273729896
-121.0645889,38.6720971,El Dorado County Library,library,95762,1.4649736206275359
-121.0057037,38.6599882,El Dorado County Library,library,95682,3.911679150317709
-79.8868386,40.0649078,Manderino Library,library,92267,3082.3345292974523
-116.074009,33.5695564,Mecca Library,library,92254,5.807083184660151
-121.8972865,36.5997934,William Tell Coleman Library,library,93942,0.2352797374248898
-122.4510145,37.7701504,Park Branch Library,library,94117,0.8618059647901216
-121.9447976,37.3473351,Mission Branch Library,library,95053,0.6765603486921178
-121.0240701,39.2697768,Nevada County Madelyn Helling Library,library,95959,5.737187985781753
-122.0466431,37.3203455,De Anza Library,library,95014,0.3029530473050889
-118.9485237,34.8192131,Kern County Library,library,93225,7.980636042404728
-122.4161532,37.738855,Bernal Heights Branch Library,library,94110,1.341442226580188
-117.820769,33.7428171,Tustin Library,library,92781,0.7027136866260522
-122.3040276,37.9083781,El Cerrito Branch Contra Costa County Library,library,94530,0.9380953069337991
-121.4626255,38.577141,McKinley Library,library,95816,0.6423069447130352
-122.2422916,37.7667567,Alameda Free Library Main Branch,library,94501,2.024083191221327
-122.1390735,37.4449668,Rinconada Library,library,94302,0.4862642078224806
-122.154999,37.4301525,Stanford Auxiliary Library,library,94305,0.9498469454766544
-122.1673247,37.4292003,Lathrop Library,library,94305,0.7856511953589547
-121.9189624,37.7028689,Alameda County Library Dublin,library,94568,1.5600006470019194
-117.3275374,33.972651,Tomas Rivera Library,library,92507,1.115756449621562
-121.9097589,37.7539326,Dougherty Station Library,library,94582,1.187550082100969
-119.7032174,34.4238567,Santa Barbara Public Library,library,93102,0.5721218489730834
-122.3491623,37.5792672,Burlingame Public Library,library,94011,1.5863480035266275
-122.2805733,40.3873858,Cottonwood Community Library,library,96022,5.233217724276577
-121.9857179,37.2708724,Westmont High School Library,library,95130,2.0014658704099983
-118.0394116,33.8248245,Cypress Branch Library,library,90630,0.8225939120238688
-122.2024185,37.4807763,Western Philatelic Library,library,94063,0.5950363988456681
-117.309011,34.022842,Serra House Library,library,92313,0.9753599727218893
-121.8961271,36.6038526,Mayo Hayes O'Donnell Library,library,93942,0.425660920731696
-122.2305478,37.4872845,San Mateo County Law Library,library,94063,1.9987731544801057
-122.2274475,37.4838847,Redwood City Public Library,library,94063,1.6405062468393765
-121.5139187,38.2408032,Walnut Grove Branch Library,library,95690,2.6567226247342783
-116.2126221,34.1416973,Library,library,92252,8.443843199955932
-118.417116,33.9594189,Westchester-Loyola Village Branch Library,library,90094,1.7744513178156958
-117.3108773,33.8900626,,library,92508,0.608449160748082
-118.2763316,33.8321156,Carson Library,library,90745,1.2506732776399243
-117.5677724,33.8749827,Corona Public Library,library,92877,0.13152083801841172
-119.7621329,34.422108,,library,93110,2.202271571526008
-119.7352069,36.7267978,,library,93702,2.1739647789178247
-117.3331019,33.8829443,Library,library,92508,2.7627326450270413
-121.7535635,36.2208598,Henry Miller Memorial Library,library,93920,5.477408889070022
-122.4319056,37.7640473,Eureka Valley / Harvey Milk Memorial Branch Library,library,94114,0.6023254207794729
-117.6656531,33.5532952,Learning Resource Center and Library,library,92694,3.937299407032281
-79.8890351,40.0682686,California Area Public Library,library,92267,3082.154432055296
-121.7163213,38.541483,Marguerite Montgomery Elementary South Davis Satelite Branch (Yolo County Library),library,95617,1.1767373572384818
-121.3093221,37.9798393,William Knox Holt Memorial Library,library,95211,0.1885153069945879
-118.4461528,34.1839895,Van Nuys Branch Los Angeles Public Library,library,91404,0.3992830296410868
-118.1305416,33.7580538,Bay Shore Branch Long Beach Public Library,library,90803,0.5395547671769589
-118.3325188,33.7341975,,library,90732,2.0778827496349073
-122.4290331,37.7967874,Golden Gate Valley Branch Library,library,94123,0.5708651916341407
-118.3530364,33.8045627,Walteria Branch Library,library,90505,0.7051704231633855
-121.4236637,38.5596089,Sac State Library,library,95819,1.4828986031960774
-122.2015573,37.4701535,Garfield Community School Library,library,94063,1.4264831951209114
-121.2920954,38.8499302,Lincoln Public Library,library,95765,4.559028861049306
-122.0754765,37.3442472,Woodland Branch Library,library,94024,1.4998155746134318
-117.8938628,33.8809562,Troy Library,library,92834,0.545396415201802
-122.1873814,37.8824613,Orinda Library,library,94563,1.3463503256464529
-117.7853472,33.8451528,Canyon Hills Public Library,library,92817,0.8803432503553129
-117.1889614,32.9591199,Media Center,library,92130,3.4049730125816646
-119.9674702,37.4895422,Mariposa County Library,library,95338,4.039943990113571
-116.5275678,33.8187957,Palm Springs Public Library,library,92264,2.127147963513682
-120.2434722,39.6762946,Sierra Valley Community Library,library,96118,1.8907298290956653
-121.9580139,36.9787785,Capitola Library,library,95010,0.3213772033548642
-122.0149745,37.270049,Saratoga Library,library,95070,0.6976164642809942
-122.3976619,37.7601232,Potrero Branch Library,library,94107,0.2252917662512578
-122.4763171,37.7633717,Sunset Branch Library,library,94122,0.7841336115719414
-122.0125201,37.9241222,Ygnacio Valley Branch Contra Costa County Library,library,94598,1.2857412594928643
-121.7737659,38.6792283,Woodland Public Library,library,95695,2.741309803391434
-122.3269406,37.5619226,San Mateo Public Library,library,94402,1.2492491956192262
-122.4519251,37.7765189,Richard A Gleeson Library,library,94118,0.9820127036489114
-117.3235962,34.0687034,Carnegie Library,library,92313,4.3066866104205985
-122.4659961,37.714143,Ocean View Branch Library,library,94016,0.9952191617902728
-122.4078973,37.7124704,Visitacion Valley Branch Library,library,94134,0.7413449850395902
-122.391148,37.7325508,Bayview Branch Library,library,94124,0.2896637187047163
-118.4619856,34.2733007,Archival Center,library,91345,1.3031584268529643
-117.1427186,32.9152318,Mira Mesa Branch San Diego Public Library,library,92126,0.25414801190445346
-118.3432808,33.8377328,Katy Geissert Civic Center Library,library,90503,1.0319412702928457
-121.2602517,37.955517,Fair Oaks Library,library,95205,0.7989906542054159
-122.4341246,37.8014042,Marina Branch Library,library,94123,0.16739054974988515
-122.4591646,37.7635352,Kalmanovitz Library,library,94143,0.06931834059944121
-122.4744888,37.7266248,Merced Branch Library,library,94132,0.6195350632103914
-118.0693754,33.9166169,Norwalk Library,library,90650,1.6778775950707774
